"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C179","SMD_0603_CAPC1608X95N","196.85mil","2692.913mil","196.85mil","2692.913mil","228.346mil","2692.913mil","T","180.00","470nF"
"C18","SMD_0402_CAPC1005X55N","3897.835mil","3984.252mil","3897.835mil","3984.252mil","3897.835mil","4001.968mil","T","270.00","100nF"
"C180","SMD_0603_CAPC1608X95N","196.85mil","2889.764mil","196.85mil","2889.764mil","228.346mil","2889.764mil","T","180.00","470nF"
"C181","SMD_0603_CAPC1608X95N","196.85mil","4070.866mil","196.85mil","4070.866mil","228.346mil","4070.866mil","T","180.00","470nF"
"C182","SMD_0603_CAPC1608X95N","196.85mil","3086.614mil","196.85mil","3086.614mil","228.346mil","3086.614mil","T","180.00","470nF"
"C183","SMD_0603_CAPC1608X95N","196.85mil","3283.465mil","196.85mil","3283.465mil","228.346mil","3283.465mil","T","180.00","470nF"
"C184","SMD_0603_CAPC1608X95N","196.85mil","3480.315mil","196.85mil","3480.315mil","228.346mil","3480.315mil","T","180.00","470nF"
"C185","SMD_0603_CAPC1608X95N","2122.047mil","2141.732mil","2122.047mil","2141.732mil","2122.047mil","2173.228mil","T","270.00","470nF"
"C186","SMD_0603_CAPC1608X95N","2055.118mil","2141.732mil","2055.118mil","2141.732mil","2055.118mil","2173.228mil","T","270.00","470nF"
"C187","SMD_0603_CAPC1608X95N","2661.417mil","2145.669mil","2661.417mil","2145.669mil","2661.417mil","2177.165mil","T","270.00","470nF"
"C188","SMD_0603_CAPC1608X95N","2594.488mil","2145.669mil","2594.488mil","2145.669mil","2594.488mil","2177.165mil","T","270.00","470nF"
"C189","SMD_0603_CAPC1608X95N","4133.858mil","2692.913mil","4133.858mil","2692.913mil","4102.362mil","2692.913mil","T","0.00","470nF"
"C19","SMD_0603_CAPC1608X95N","1732.283mil","6700.787mil","1732.283mil","6700.787mil","1732.283mil","6669.291mil","T","90.00","470nF"
"C190","SMD_0603_CAPC1608X95N","4133.858mil","2889.764mil","4133.858mil","2889.764mil","4102.362mil","2889.764mil","T","0.00","470nF"
"C191","SMD_0603_CAPC1608X95N","4133.858mil","3086.614mil","4133.858mil","3086.614mil","4102.362mil","3086.614mil","T","0.00","470nF"
"C192","SMD_0603_CAPC1608X95N","4133.858mil","3283.465mil","4133.858mil","3283.465mil","4102.362mil","3283.465mil","T","0.00","470nF"
"C193","SMD_0603_CAPC1608X95N","4133.858mil","3480.315mil","4133.858mil","3480.315mil","4102.362mil","3480.315mil","T","0.00","470nF"
"C194","SMD_0603_CAPC1608X95N","4133.858mil","3677.165mil","4133.858mil","3677.165mil","4102.362mil","3677.165mil","T","0.00","470nF"
"C195","SMD_0603_CAPC1608X95N","4133.858mil","3874.016mil","4133.858mil","3874.016mil","4102.362mil","3874.016mil","T","0.00","470nF"
"C196","SMD_0603_CAPC1608X95N","4133.858mil","4070.866mil","4133.858mil","4070.866mil","4102.362mil","4070.866mil","T","0.00","470nF"
"C197","SMD_1210_CAPC3225X279N","4133.858mil","3972.441mil","4133.858mil","3972.441mil","4074.803mil","3972.441mil","T","0.00","220uF"
"C198","SMD_1210_CAPC3225X279N","3169.291mil","2141.732mil","3169.291mil","2141.732mil","3169.291mil","2200.787mil","T","270.00","220uF"
"C199","SMD_1210_CAPC3225X279N","3704.724mil","2141.732mil","3704.724mil","2141.732mil","3704.724mil","2200.787mil","T","270.00","220uF"
"C2","SMD_0603_CAPC1608X95N","4393.701mil","4007.874mil","4393.701mil","4007.874mil","4425.197mil","4007.874mil","T","180.00","10uF"
"C20","SMD_0603_CAPC1608X95N","55.118mil","917.323mil","55.118mil","917.323mil","55.118mil","885.827mil","T","90.00","10uF"
"C200","SMD_1210_CAPC3225X279N","4133.858mil","2791.338mil","4133.858mil","2791.338mil","4074.803mil","2791.338mil","T","0.00","220uF"
"C201","SMD_1210_CAPC3225X279N","4133.858mil","2988.189mil","4133.858mil","2988.189mil","4074.803mil","2988.189mil","T","0.00","220uF"
"C202","SMD_1210_CAPC3225X279N","4133.858mil","3381.89mil","4133.858mil","3381.89mil","4074.803mil","3381.89mil","T","0.00","220uF"
"C203","SMD_1210_CAPC3225X279N","4133.858mil","3185.039mil","4133.858mil","3185.039mil","4074.803mil","3185.039mil","T","0.00","220uF"
"C204","SMD_1210_CAPC3225X279N","4133.858mil","3578.74mil","4133.858mil","3578.74mil","4074.803mil","3578.74mil","T","0.00","220uF"
"C205","SMD_1210_CAPC3225X279N","4133.858mil","3775.59mil","4133.858mil","3775.59mil","4074.803mil","3775.59mil","T","0.00","220uF"
"C206","SMD_1210_CAPC3225X279N","4133.858mil","4169.291mil","4133.858mil","4169.291mil","4074.803mil","4169.291mil","T","0.00","220uF"
"C207","SMD_1210_CAPC3225X279N","1547.244mil","2141.732mil","1547.244mil","2141.732mil","1547.244mil","2200.787mil","T","270.00","220uF"
"C208","SMD_1210_CAPC3225X279N","1011.811mil","2141.732mil","1011.811mil","2141.732mil","1011.811mil","2200.787mil","T","270.00","220uF"
"C209","SMD_1210_CAPC3225X279N","196.85mil","4169.291mil","196.85mil","4169.291mil","255.905mil","4169.291mil","T","180.00","220uF"
"C21","SMD_0603_CAPC1608X95N","2196.85mil","917.323mil","2196.85mil","917.323mil","2196.85mil","885.827mil","T","90.00","10uF"
"C210","SMD_1210_CAPC3225X279N","196.85mil","3972.441mil","196.85mil","3972.441mil","255.905mil","3972.441mil","T","180.00","220uF"
"C211","SMD_1210_CAPC3225X279N","196.85mil","3775.59mil","196.85mil","3775.59mil","255.905mil","3775.59mil","T","180.00","220uF"
"C212","SMD_1210_CAPC3225X279N","196.85mil","3381.89mil","196.85mil","3381.89mil","255.905mil","3381.89mil","T","180.00","220uF"
"C213","SMD_1210_CAPC3225X279N","196.85mil","3185.039mil","196.85mil","3185.039mil","255.905mil","3185.039mil","T","180.00","220uF"
"C214","SMD_1210_CAPC3225X279N","196.85mil","2988.189mil","196.85mil","2988.189mil","255.905mil","2988.189mil","T","180.00","220uF"
"C215","SMD_1210_CAPC3225X279N","196.85mil","2791.338mil","196.85mil","2791.338mil","255.905mil","2791.338mil","T","180.00","220uF"
"C216","SMD_1210_CAPC3225X279N","196.85mil","3578.74mil","196.85mil","3578.74mil","255.905mil","3578.74mil","T","180.00","220uF"
"C217","SMD_1210_CAPC3225X279N","4133.858mil","6137.795mil","4133.858mil","6137.795mil","4074.803mil","6137.795mil","T","0.00","220uF"
"C218","SMD_1210_CAPC3225X279N","4133.858mil","5744.095mil","4133.858mil","5744.095mil","4074.803mil","5744.095mil","T","0.00","220uF"
"C219","SMD_1210_CAPC3225X279N","3311.024mil","6696.85mil","3311.024mil","6696.85mil","3311.024mil","6637.795mil","T","90.00","220uF"
"C22","SMD_0603_CAPC1608X95N","4267.717mil","7921.26mil","4267.717mil","7921.26mil","4267.717mil","7952.756mil","T","270.00","10uF"
"C220","SMD_1210_CAPC3225X279N","2775.59mil","6696.85mil","2775.59mil","6696.85mil","2775.59mil","6637.795mil","T","90.00","220uF"
"C221","SMD_1210_CAPC3225X279N","4133.858mil","4759.842mil","4133.858mil","4759.842mil","4074.803mil","4759.842mil","T","0.00","220uF"
"C222","SMD_1210_CAPC3225X279N","4133.858mil","4956.693mil","4133.858mil","4956.693mil","4074.803mil","4956.693mil","T","0.00","220uF"
"C223","SMD_1210_CAPC3225X279N","4133.858mil","5153.543mil","4133.858mil","5153.543mil","4074.803mil","5153.543mil","T","0.00","220uF"
"C224","SMD_1210_CAPC3225X279N","4133.858mil","5350.394mil","4133.858mil","5350.394mil","4074.803mil","5350.394mil","T","0.00","220uF"
"C225","SMD_1210_CAPC3225X279N","4133.858mil","5547.244mil","4133.858mil","5547.244mil","4074.803mil","5547.244mil","T","0.00","220uF"
"C226","SMD_1210_CAPC3225X279N","4133.858mil","5940.945mil","4133.858mil","5940.945mil","4074.803mil","5940.945mil","T","0.00","220uF"
"C227","SMD_0603_CAPC1608X95N","1846.457mil","4830.709mil","1846.457mil","4830.709mil","1846.457mil","4799.212mil","T","90.00","470nF"
"C228","SMD_0603_CAPC1608X95N","515.748mil","3988.189mil","515.748mil","3988.189mil","515.748mil","4019.685mil","T","270.00","470nF"
"C229","SMD_0603_CAPC1608X95N","680.109mil","4365.328mil","680.109mil","4365.328mil","648.612mil","4365.328mil","T","0.00","470nF"
"C23","SMD_0603_CAPC1608X95N","2125.984mil","7921.26mil","2125.984mil","7921.26mil","2125.984mil","7952.756mil","T","270.00","10uF"
"C230","SMD_0603_CAPC1608X95N","3814.961mil","4830.709mil","3814.961mil","4830.709mil","3814.961mil","4799.212mil","T","90.00","470nF"
"C231","SMD_0805_CAPC2012X145N","4515.748mil","5377.953mil","4515.748mil","5377.953mil","4515.748mil","5413.386mil","T","270.00","22uF"
"C232","SMD_0402_CAPC1005X55N","4578.74mil","5409.449mil","4578.74mil","5409.449mil","4578.74mil","5427.165mil","T","270.00","100nF"
"C233","SMD_0603_CAPC1608X95N","1637.795mil","5125.984mil","1637.795mil","5125.984mil","1637.795mil","5157.48mil","T","270.00","470nF"
"C234","SMD_0603_CAPC1608X95N","733.679mil","3696.867mil","733.679mil","3696.867mil","733.679mil","3665.371mil","T","90.00","470nF"
"C235","SMD_0603_CAPC1608X95N","2700.787mil","3696.867mil","2700.787mil","3696.867mil","2700.787mil","3665.371mil","T","90.00","470nF"
"C236","SMD_1210_CAPC3225X279N","358.579mil","2142.333mil","358.579mil","2142.333mil","358.579mil","2201.389mil","T","270.00","220uF"
"C237","SMD_0603_CAPC1608X95N","3606.299mil","5125.984mil","3606.299mil","5125.984mil","3606.299mil","5157.48mil","T","270.00","470nF"
"C238","SMD_0603_CAPC1608X95N","1685.039mil","4448.819mil","1685.039mil","4448.819mil","1716.535mil","4448.819mil","T","180.00","470nF"
"C239","SMD_0603_CAPC1608X95N","3653.543mil","4448.819mil","3653.543mil","4448.819mil","3685.039mil","4448.819mil","T","180.00","470nF"
"C24","SMD_0402_CAPC1005X55N","43.307mil","1015.748mil","43.307mil","1015.748mil","43.307mil","998.032mil","T","90.00","100nF"
"C240","SMD_0603_CAPC1608X95N","2484.252mil","3988.189mil","2484.252mil","3988.189mil","2484.252mil","4019.685mil","T","270.00","470nF"
"C241","SMD_0603_CAPC1608X95N","2645.669mil","4365.328mil","2645.669mil","4365.328mil","2614.173mil","4365.328mil","T","0.00","470nF"
"C242","SMD_0603_CAPC1608X95N","1484.252mil","4933.071mil","1484.252mil","4933.071mil","1452.756mil","4933.071mil","T","0.00","18pF"
"C243","SMD_0603_CAPC1608X95N","1354.331mil","4933.071mil","1354.331mil","4933.071mil","1385.827mil","4933.071mil","T","180.00","18pF"
"C244","SMD_0603_CAPC1608X95N","877.953mil","3885.827mil","877.953mil","3885.827mil","909.449mil","3885.827mil","T","180.00","18pF"
"C245","SMD_0603_CAPC1608X95N","1007.874mil","3885.827mil","1007.874mil","3885.827mil","976.378mil","3885.827mil","T","0.00","18pF"
"C246","SMD_0603_CAPC1608X95N","2846.457mil","3885.827mil","2846.457mil","3885.827mil","2877.953mil","3885.827mil","T","180.00","18pF"
"C247","SMD_0603_CAPC1608X95N","2976.378mil","3885.827mil","2976.378mil","3885.827mil","2944.882mil","3885.827mil","T","0.00","18pF"
"C248","SMD_0603_CAPC1608X95N","3452.756mil","4933.071mil","3452.756mil","4933.071mil","3421.26mil","4933.071mil","T","0.00","18pF"
"C249","SMD_0603_CAPC1608X95N","3322.835mil","4933.071mil","3322.835mil","4933.071mil","3354.331mil","4933.071mil","T","180.00","18pF"
"C25","SMD_0402_CAPC1005X55N","2185.039mil","1015.748mil","2185.039mil","1015.748mil","2185.039mil","998.032mil","T","90.00","100nF"
"C250","SMD_0402_CAPC1005X55N","3889.961mil","4228.346mil","3889.961mil","4228.346mil","3889.961mil","4246.063mil","T","270.00","100nF"
"C251","SMD_0402_CAPC1005X55N","3929.331mil","4228.346mil","3929.331mil","4228.346mil","3929.331mil","4246.063mil","T","270.00","100nF"
"C26","SMD_0402_CAPC1005X55N","4279.528mil","7822.835mil","4279.528mil","7822.835mil","4279.528mil","7840.551mil","T","270.00","100nF"
"C27","SMD_0402_CAPC1005X55N","2137.795mil","7822.835mil","2137.795mil","7822.835mil","2137.795mil","7840.551mil","T","270.00","100nF"
"C28","SMD_0603_CAPC1608X95N","267.716mil","885.827mil","267.716mil","885.827mil","236.22mil","885.827mil","T","0.00","220nF"
"C29","SMD_0603_CAPC1608X95N","2409.449mil","885.827mil","2409.449mil","885.827mil","2377.953mil","885.827mil","T","0.00","220nF"
"C3","SMD_0603_CAPC1608X95N","5061.024mil","3714.567mil","5061.024mil","3714.567mil","5061.024mil","3746.063mil","T","270.00","1nF"
"C30","SMD_0603_CAPC1608X95N","4055.118mil","7952.756mil","4055.118mil","7952.756mil","4086.614mil","7952.756mil","T","180.00","220nF"
"C31","SMD_0603_CAPC1608X95N","1913.386mil","7952.756mil","1913.386mil","7952.756mil","1944.882mil","7952.756mil","T","180.00","220nF"
"C32","SMD_1210_CAPC3225X270N","133.858mil","759.842mil","133.858mil","759.842mil","133.858mil","700.787mil","T","90.00","100uF"
"C33","SMD_1210_CAPC3225X270N","358.268mil","598.425mil","358.268mil","598.425mil","299.213mil","598.425mil","T","0.00","100uF"
"C34","SMD_1210_CAPC3225X279N","488.5mil","2142.333mil","488.5mil","2142.333mil","488.5mil","2201.389mil","T","270.00","220uF"
