Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C16        SMD_0805_CAPC2012X145N    2618.11mil   1279.527mil    2618.11mil   1279.527mil   2582.677mil   1279.527mil  T          0.00 22uF           
C15        SMD_0603_CAPC1608X95N   3094.488mil   1649.606mil   3094.488mil   1649.606mil   3094.488mil   1681.102mil  T        270.00 10uF           
C146       SMD_1210_CAPC3225X279N   1630.047mil   2434.441mil   1630.047mil   2434.441mil   1570.992mil   2434.441mil  T          0.00 220uF          
C143       SMD_1210_CAPC3225X279N   1732.283mil   2169.291mil   1732.283mil   2169.291mil   1732.283mil   2110.236mil  T         90.00 220uF          
C140       SMD_1210_CAPC3225X279N   1889.764mil   2169.291mil   1889.764mil   2169.291mil   1889.764mil   2110.236mil  T         90.00 220uF          
C14        SMD_0805_CAPC2012X145N   2799.213mil       1500mil   2799.213mil       1500mil   2799.213mil   1464.567mil  T         90.00 22uF           
C134       SMD_1210_CAPC3225X270N    1618.11mil   3755.905mil    1618.11mil   3755.905mil   1677.165mil   3755.905mil  T        180.00 100uF          
C133       SMD_1210_CAPC3225X270N   1444.882mil    3803.15mil   1444.882mil    3803.15mil   1444.882mil   3862.205mil  T        270.00 100uF          
C132       SMD_1210_CAPC3225X279N   2598.417mil   2169.202mil   2598.417mil   2169.202mil   2598.417mil   2110.147mil  T         90.00 220uF          
C13        SMD_1210_CAPC3225X279N   2692.913mil   1523.622mil   2692.913mil   1523.622mil   2692.913mil   1582.677mil  T        270.00 220uF          
C125       SMD_0603_CAPC1608X95N   1625.984mil   3299.213mil   1625.984mil   3299.213mil   1625.984mil   3267.716mil  T         90.00 220nF          
C121       SMD_0603_CAPC1608X95N   1622.498mil    3096.05mil   1622.498mil    3096.05mil   1591.002mil    3096.05mil  T          0.00 100nF          
C12        SMD_0603_CAPC1608X95N   3173.425mil   2055.118mil   3173.425mil   2055.118mil   3173.425mil   2023.622mil  T         90.00 10uF           
C117       SMD_0603_CAPC1608X95N   1622.498mil    3202.35mil   1622.498mil    3202.35mil   1653.995mil    3202.35mil  T        180.00 10uF           
C11        SMD_0603_CAPC1608X95N   3311.024mil   1194.882mil   3311.024mil   1194.882mil    3342.52mil   1194.882mil  T        180.00 18pF           
C107       SMD_1210_CAPC3225X270N   3082.677mil   3755.905mil   3082.677mil   3755.905mil   3141.732mil   3755.905mil  T        180.00 100uF          
C102       SMD_1210_CAPC3225X270N    885.827mil   3440.945mil    885.827mil   3440.945mil    944.882mil   3440.945mil  T        180.00 100uF          
C101       SMD_1210_CAPC3225X270N    885.827mil   3598.425mil    885.827mil   3598.425mil    944.882mil   3598.425mil  T        180.00 100uF          
C10        SMD_0603_CAPC1608X95N   3435.039mil   1194.882mil   3435.039mil   1194.882mil   3403.543mil   1194.882mil  T          0.00 18pF           

